# Verify debt from K3 rate limits/quota — flagged 2026-08-16
# Source: 'verify: skipped (provider error)' in beagle-ab scan logs (2026-08-11..16),
# filtered to repos whose records still have gaps (missing doc/solutions/source/defense).
# job_history can't distinguish these: the runner records verify 'success' even when
# batches were skipped. Gap counts are current-DB truth, not log inference.
# Remediate after the K3 weekly reset (~2026-08-19): analyze <repo> --phases 5 --force
# format: repo <TAB> gap-records/total-records
goharbor/harbor	349/500 records with gaps
tailscale/tailscale	332/1195 records with gaps
oven-sh/bun	327/609 records with gaps
openclaw/openclaw	304/1245 records with gaps
XTLS/Xray-core	255/870 records with gaps
grafana/k6	253/1065 records with gaps
istio/istio	229/845 records with gaps
sipeed/picoclaw	216/777 records with gaps
netbirdio/netbird	211/829 records with gaps
dapr/dapr	194/714 records with gaps
n8n-io/n8n	184/1229 records with gaps
projectdiscovery/nuclei	144/448 records with gaps
garrytan/gstack	144/333 records with gaps
rancher/rancher	140/617 records with gaps
helm/helm	131/720 records with gaps
microsoft/playwright	119/445 records with gaps
microsoft/vscode	115/118 records with gaps
Hmbown/CodeWhale	109/622 records with gaps
firecrawl/firecrawl	107/344 records with gaps
langgenius/dify	105/456 records with gaps
elastic/elasticsearch	103/1137 records with gaps
supabase/supabase	96/392 records with gaps
astral-sh/uv	94/147 records with gaps
clash-verge-rev/clash-verge-rev	91/175 records with gaps
zed-industries/zed	86/311 records with gaps
DioxusLabs/dioxus	78/164 records with gaps
denoland/deno	77/433 records with gaps
beego/beego	77/262 records with gaps
pola-rs/polars	68/548 records with gaps
github/github-mcp-server	62/291 records with gaps
ruvnet/RuView	58/306 records with gaps
microsoft/typescript-go	54/258 records with gaps
GopeedLab/gopeed	45/120 records with gaps
opentofu/opentofu	42/631 records with gaps
aaif-goose/goose	41/338 records with gaps
golang/go	40/1221 records with gaps
tinyhumansai/openhuman	40/382 records with gaps
spacedriveapp/spacedrive	38/224 records with gaps
nestjs/nest	38/82 records with gaps
pnpm/pnpm	37/266 records with gaps
cloudreve/cloudreve	37/244 records with gaps
rustdesk/rustdesk	35/96 records with gaps
astral-sh/ruff	32/86 records with gaps
ruvnet/ruflo	30/340 records with gaps
warpdotdev/warp	28/201 records with gaps
Wox-launcher/Wox	25/25 records with gaps
symfony/symfony	20/498 records with gaps
expo/expo	20/261 records with gaps
hoppscotch/hoppscotch	20/256 records with gaps
google-gemini/gemini-cli	20/239 records with gaps
rust-lang/cargo	20/220 records with gaps
k3s-io/k3s	20/202 records with gaps
eslint/eslint	20/108 records with gaps
FuelLabs/sway	20/105 records with gaps
brianc/node-postgres	20/37 records with gaps
paperclipai/paperclip	19/488 records with gaps
grpc/grpc-go	19/483 records with gaps
sxyazi/yazi	19/76 records with gaps
lapce/lapce	19/41 records with gaps
hashicorp/terraform	18/861 records with gaps
mermaid-js/mermaid	18/120 records with gaps
swc-project/swc	18/78 records with gaps
pydantic/pydantic	17/213 records with gaps
vitest-dev/vitest	16/370 records with gaps
FuelLabs/fuel-core	16/167 records with gaps
urllib3/urllib3	16/112 records with gaps
go-kratos/kratos	16/73 records with gaps
appwrite/appwrite	15/132 records with gaps
typst/typst	15/21 records with gaps
koala73/worldmonitor	14/189 records with gaps
sqlalchemy/alembic	14/68 records with gaps
lyswhut/lx-music-desktop	14/45 records with gaps
zellij-org/zellij	13/119 records with gaps
sharkdp/bat	11/11 records with gaps
grafana/loki	10/10 records with gaps
ajeetdsouza/zoxide	10/10 records with gaps
zeromicro/go-zero	5/5 records with gaps
sirupsen/logrus	5/5 records with gaps
iptv-org/iptv	3/3 records with gaps
grafana/grafana	2/196 records with gaps
laravel/framework	1/240 records with gaps
toeverything/AFFiNE	1/217 records with gaps
cypress-io/cypress	1/65 records with gaps
nsqio/nsq	1/53 records with gaps
cockroachdb/cockroach	1/19 records with gaps
